Genome ID	Source ID	Source	Host	Function	Reference Name	Reference Accession	Reference Phylum	Reference Order	Reference Genus	Reference Name	CheckM Marker lineage	CheckM genomes	CheckM markers	Completeness	Contamination	Strain heterogeneity	QS	gtdb classification	gtdb Phylum	closest_genome_reference	closest_genome_reference_radius	closest_genome_ani	closest_placement_reference	classification_method	note
GISB0051	RISB2059	Literature Record	Graphocephala atropunctata	None	Candidatus Sulcia muelleri strain BGSS	CP008986.1	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Candidatus Sulcia muelleri strain BGSS	k__Bacteria (UID2565)	2921	152	41.79	0	0	41.79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Sulcia;s__	p__Bacteroidota	None	None	None	GCF_000829155.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
GISB0052	RISB1853	Literature Record	Lipoptena cervi	None	Candidatus Arsenophonus lipopteni	CP013920.1	Pseudomonadota	Enterobacterales	Arsenophonus	Candidatus Arsenophonus lipopteni	c__Gammaproteobacteria (UID4442)	899	312	80.63	0	0	80.63	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Arsenophonus;s__Arsenophonus lipoptenae	p__Pseudomonadota	GCF_001534665.1	95	100	GCF_001534665.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0053	RISB1687	Literature Record	Polyplax serrata	None	Candidatus Legionella polyplacis	CP021497.1	Pseudomonadota	Legionellales	Legionella	Candidatus Legionella polyplacis	c__Gammaproteobacteria (UID4266)	1097	269	61.84	0	0	61.84	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__GCF-002776555;s__GCF-002776555 sp002776555	p__Pseudomonadota	GCF_002776555.1	95	100	GCF_002776555.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0054	RISB1484	Literature Record	Sogatella furcifera	None	Cardinium cSfur	CP022339.1	Bacteroidota	Cytophagales	Candidatus Cardinium	Cardinium cSfur	k__Bacteria (UID2570)	433	274	73.11	0.55	0	70.36	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales_A;f__Amoebophilaceae;g__Cardinium;s__Cardinium sp003351905	p__Bacteroidota	GCF_003351905.1	95	100	GCF_003351905.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0055	RISB1550	Literature Record	Bombyx mori	facilitate lactic acid production	Enterococcus mundtii	CP022340.1	Bacillota	Lactobacillales	Enterococcus	Enterococcus mundtii	o__Lactobacillales (UID544)	293	475	99.63	0.12	0	99.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B pernyi	p__Bacillota	GCF_013394305.1	96.7	99.23	GCF_013394305.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0056	RISB1660	Literature Record	Cassida rubiginosa	Insect hosts depend on symbiont to degrade pectin;the symbiont nonetheless retained a functional pectinolytic metabolism targeting the polysaccharide's two most abundant classes: homogalacturonan and rhamnogalacturonan I	Candidatus Stammera capleta	CP024013.1	Pseudomonadota	Enterobacterales	Candidatus Stammera	Candidatus Stammera capleta	k__Bacteria (UID2495)	2993	136	77.08	0	0	77.08	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Stammera;s__Stammera capleta	p__Pseudomonadota	GCA_002688505.1	95	100	GCA_002688505.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0057	RISB0750	Literature Record	Diaphorina citri	None	Candidatus Liberibacter asiaticus	CP040636.1	Pseudomonadota	Hyphomicrobiales	Liberibacter	Candidatus Liberibacter asiaticus	o__Rhizobiales (UID3449)	345	375	97.3	0	0	97.3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Liberibacter;s__Liberibacter asiaticus	p__Pseudomonadota	GCF_000590865.3	95	99.95	GCF_000590865.3	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0058	RISB0748	Literature Record	Diaphorina citri	None	Candidatus Carsonella ruddii	CP041245.1	Pseudomonadota	Oceanospirillales	Candidatus Carsonella	Candidatus Carsonella ruddii	k__Bacteria (UID2495)	2993	147	20.32	0	0	20.32	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Zinderia;s__	p__Pseudomonadota	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB0059	RISB0751	Literature Record	Diaphorina citri	None	Wolbachia	CP051608.1	Pseudomonadota	Rickettsiales	Wolbachia	Wolbachia	o__Rickettsiales (UID3811)	63	368	100	0.43	0	97.85	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp013096535	p__Pseudomonadota	GCF_013096535.2	95	99.98	GCF_013096535.2	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0060	RISB0515	Literature Record	Laodelphax striatellus	pathogenic to the host insect, raises the possibility of using the Lstr strain as a biological agent	Pantoea ananatis Lstr	CP060818.1	Pseudomonadota	Enterobacterales	Pantoea	Pantoea ananatis Lstr	f__Enterobacteriaceae (UID5054)	223	874	100	0.08	0	99.6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea ananatis	p__Pseudomonadota	GCF_000710035.2	95	96.63	GCF_000710035.2	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0061	RISB0874	Literature Record	Nysius sp.	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)	Candidatus Schneideria nysicola isolate NT	CP074100.1	Pseudomonadota	Enterobacterales	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NT	k__Bacteria (UID2495)	2993	136	96.25	0	0	96.25	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Schneideria;s__Schneideria nysicola	p__Pseudomonadota	GCF_019923565.1	95	99.27	GCF_019923565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0062	RISB0872	Literature Record	Nysius sp.	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)	Candidatus Schneideria nysicola isolate NB	CP074374.1	Pseudomonadota	Enterobacterales	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NB	k__Bacteria (UID2495)	2993	136	96.25	0	0	96.25	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Schneideria;s__Schneideria nysicola	p__Pseudomonadota	GCF_019923565.1	95	99.18	GCF_019923565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0063	RISB0687	Literature Record	Spodoptera frugiperda	Klebsiella sp. EMBL-1 is able to depolymerize and utilize PVC as sole energy source	Klebsiella sp. EMBL-1	CP079802.1	Pseudomonadota	Enterobacterales	Klebsiella	Klebsiella sp. EMBL-1	f__Enterobacteriaceae (UID5121)	138	1160	100	0.13	0	99.35	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola	p__Pseudomonadota	GCF_000828055.2	95	98.91	GCF_000828055.2	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0064	RISB0457	Literature Record	Ostrinia furnacalis	manipulate the sexual development and reproduction of their insect hosts.	Wolbachia wFur	CP096925.1	Pseudomonadota	Rickettsiales	Wolbachia	Wolbachia wFur	o__Rickettsiales (UID3811)	63	368	100	0.43	100	97.85	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp001439985	p__Pseudomonadota	GCF_018141665.1	95.57	99.5	GCF_018141665.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0065	RISB0239	Literature Record	Frankliniella intonsa	None	Wolbachia	CP097148.1	Pseudomonadota	Rickettsiales	Wolbachia	Wolbachia	o__Rickettsiales (UID3811)	63	368	100	3.85	100	80.75	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp947250635	p__Pseudomonadota	GCF_947250635.1	95.83	97.43	GCF_947250635.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0066	RISB0222	Literature Record	Diaphorina citri	None	Candidatus Kirkpatrickella diaphorinae	CP107052.1	Pseudomonadota	Rhodospirillales	Candidatus Kirkpatrickella	Candidatus Kirkpatrickella diaphorinae	o__Rhodospirillales (UID3754)	63	336	98.91	0	0	98.91	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__G025736875;s__G025736875 sp025736875	p__Pseudomonadota	GCA_025736875.1	95	100	GCA_025736875.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0067	RISB0193	Literature Record	Recilia dorsalis	nitrogen-fixing bacterium, R. electrica has all the nitrogen fixation genes and colonizes the gut lumen of leafhoppers	Klebsiella electrica	CP119531.1	Pseudomonadota	Enterobacterales	Klebsiella	Klebsiella electrica	f__Enterobacteriaceae (UID5121)	138	1162	99.16	1.08	0	93.76	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella electrica	p__Pseudomonadota	GCF_006711645.1	95	99.28	GCF_006711645.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0068	RISB0108	Literature Record	Nilaparvata lugens	Transinfected planthopper lines acquired the insecticide sensitivity trait, with associated downregulation of the P450 xenobiotic detoxification system of the host	Candidatus Arsenophonus nilaparvatae	CP158507.1	Pseudomonadota	Enterobacterales	Arsenophonus	Candidatus Arsenophonus nilaparvatae	c__Gammaproteobacteria (UID4442)	899	312	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Arsenophonus;s__Arsenophonus nilaparvatae	p__Pseudomonadota	GCF_000757905.1	96.45	99.98	GCF_000757905.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0069	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545141.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0070	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545142.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0071	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545143.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0072	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545144.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0073	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545145.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0074	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545146.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0075	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545147.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0076	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545148.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	c__Gammaproteobacteria (UID4442)	899	312	1.62	0	0	1.62	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Arsenophonus;s__Arsenophonus nasoniae	p__Pseudomonadota	GCF_000429565.1	95	99.86	GCF_000429565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0077	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545149.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0078	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545150.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0079	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545151.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0080	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545152.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0081	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545153.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0082	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545154.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	8.33	0	0	8.33	Unclassified Bacteria	None	None	None	None	None	None	None
GISB0083	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545155.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified Bacteria	None	None	None	None	None	None	None
GISB0084	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545156.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	4.17	0	0	4.17	Unclassified Bacteria	None	None	None	None	None	None	None
GISB0085	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545157.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0086	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545158.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0087	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545159.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0088	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545160.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0089	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545161.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	k__Bacteria (UID203)	5449	103	19.3	0	0	19.3	Unclassified Bacteria	None	None	None	None	None	None	None
GISB0090	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545162.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0091	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545163.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0092	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545164.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0093	RISB2483	Literature Record	Nasonia vitripennis	male-killing	Arsenophonus nasoniae	FN545165.1	Pseudomonadota	Enterobacterales	Arsenophonus	Arsenophonus nasoniae	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
